,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,credit_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,Total Wealth,social_class,loan_type,credit_rating,loan_term_type
1788,0,Graduate,Yes,5800000,14100000,16,570,8200000,4200000,16400000,3700000,Approved,38300000,High Middle Class,Silver,Poor,Long Term
1789,1,Not Graduate,No,900000,3500000,18,395,2500000,800000,3000000,1300000,Rejected,8500000,Low Class,Bronze,Very Poor,Long Term
1790,0,Not Graduate,Yes,2200000,7500000,10,497,2300000,2100000,5700000,1800000,Rejected,14100000,Low Middle Class,Silver,Very Poor,Long Term
1791,3,Not Graduate,Yes,1800000,5300000,14,440,2000000,100000,3700000,1000000,Rejected,8600000,Low Class,Silver,Very Poor,Long Term
1792,0,Not Graduate,Yes,800000,2400000,16,825,700000,0,3100000,1100000,Approved,5700000,Low Class,Bronze,Excellent,Long Term
1793,2,Graduate,Yes,7600000,18100000,14,320,14700000,2600000,28100000,8500000,Rejected,61500000,High Class,Gold,Very Poor,Long Term
1794,2,Graduate,Yes,4100000,13500000,4,846,8900000,7800000,11400000,2400000,Approved,34600000,Low Middle Class,Silver,Excellent,Intermedate Term
1795,3,Graduate,Yes,4600000,10900000,12,856,13500000,5100000,9400000,3300000,Approved,35900000,Low Middle Class,Silver,Excellent,Long Term
1796,3,Graduate,No,2300000,6800000,10,418,2800000,2700000,6300000,1400000,Rejected,15500000,Low Middle Class,Silver,Very Poor,Long Term
1797,0,Not Graduate,Yes,8000000,21100000,6,306,16100000,11800000,28200000,8700000,Rejected,72800000,High Class,Gold,Very Poor,Intermedate Term
1798,2,Not Graduate,Yes,3800000,14500000,16,567,2400000,2600000,10500000,3000000,Approved,22300000,Low Middle Class,Silver,Poor,Long Term
1799,2,Not Graduate,Yes,9500000,36800000,6,493,24100000,13800000,32100000,6200000,Rejected,85700000,High Class,Platinum,Very Poor,Intermedate Term
1800,2,Graduate,No,9300000,21200000,2,509,2800000,2600000,35800000,6600000,Rejected,57100000,High Middle Class,Gold,Poor,Short Term
1801,4,Graduate,No,4700000,17000000,4,364,2900000,4600000,18800000,6200000,Approved,37200000,High Middle Class,Gold,Very Poor,Intermedate Term
1802,5,Not Graduate,No,6000000,24000000,20,639,300000,7300000,15100000,6600000,Approved,35300000,Low Middle Class,Platinum,Fair,Long Term
1803,2,Graduate,Yes,5500000,21700000,2,309,11800000,1000000,21600000,7600000,Approved,47500000,High Middle Class,Gold,Very Poor,Short Term
1804,0,Not Graduate,Yes,4600000,14800000,6,433,12100000,4600000,11100000,6700000,Rejected,39100000,High Middle Class,Gold,Very Poor,Intermedate Term
1805,5,Not Graduate,No,9900000,33600000,20,580,7000000,10800000,37400000,14700000,Approved,79800000,High Class,Platinum,Poor,Long Term
1806,1,Graduate,Yes,6200000,16200000,4,888,-100000,12000000,24300000,4000000,Approved,46400000,High Middle Class,Gold,Excellent,Intermedate Term
1807,4,Not Graduate,Yes,400000,1100000,6,644,1000000,300000,1600000,400000,Approved,3700000,Low Class,Bronze,Fair,Intermedate Term
1808,1,Not Graduate,Yes,7800000,22200000,10,763,11200000,1400000,27000000,4900000,Approved,52300000,High Middle Class,Gold,Good,Long Term
1809,0,Graduate,Yes,2900000,10800000,20,694,6400000,200000,10600000,2100000,Approved,22200000,Low Middle Class,Silver,Good,Long Term
1810,3,Not Graduate,No,500000,1200000,6,757,1300000,100000,1200000,600000,Approved,3700000,Low Class,Bronze,Good,Intermedate Term
1811,0,Not Graduate,No,2500000,6900000,12,471,7100000,4000000,5200000,1500000,Rejected,20300000,Low Middle Class,Silver,Very Poor,Long Term
1812,5,Not Graduate,No,9000000,35200000,2,437,18400000,17800000,18300000,10400000,Approved,73900000,High Class,Platinum,Very Poor,Short Term
1813,4,Not Graduate,Yes,5200000,11400000,10,406,14700000,2000000,13000000,4400000,Rejected,39300000,High Middle Class,Silver,Very Poor,Long Term
1814,5,Not Graduate,No,6000000,19700000,20,376,14700000,10700000,17100000,5500000,Rejected,54000000,High Middle Class,Gold,Very Poor,Long Term
1815,1,Graduate,No,5100000,13800000,14,350,6200000,2200000,12600000,3600000,Rejected,29700000,Low Middle Class,Silver,Very Poor,Long Term
1816,5,Not Graduate,Yes,8000000,22500000,20,784,7600000,7300000,26000000,10800000,Approved,59700000,High Class,Gold,Excellent,Long Term
1817,4,Graduate,Yes,9200000,25400000,14,765,21200000,6600000,25100000,5600000,Approved,67700000,High Class,Platinum,Good,Long Term
1818,4,Not Graduate,No,9800000,32200000,18,593,9500000,400000,34000000,14300000,Approved,68000000,High Class,Platinum,Poor,Long Term
1819,3,Graduate,Yes,7600000,30000000,10,344,19000000,13700000,27600000,11100000,Rejected,79000000,High Class,Platinum,Very Poor,Long Term
1820,1,Graduate,No,5100000,11800000,12,314,14700000,7600000,12400000,4900000,Rejected,44700000,High Middle Class,Silver,Very Poor,Long Term
1821,4,Graduate,Yes,1500000,3300000,16,382,200000,2400000,3200000,1100000,Rejected,8400000,Low Class,Bronze,Very Poor,Long Term
1822,2,Not Graduate,Yes,6200000,16500000,4,510,14100000,4700000,18200000,6300000,Rejected,49500000,High Middle Class,Gold,Poor,Intermedate Term
1823,2,Graduate,Yes,6300000,24600000,8,464,7700000,2200000,13000000,6900000,Rejected,36100000,Low Middle Class,Platinum,Very Poor,Long Term
1824,1,Graduate,Yes,5500000,14900000,2,403,7400000,8900000,19700000,4100000,Rejected,45600000,High Middle Class,Gold,Very Poor,Short Term
1825,3,Not Graduate,No,8100000,30400000,12,606,900000,1100000,31900000,11600000,Approved,53600000,High Middle Class,Platinum,Fair,Long Term
1826,1,Graduate,No,6300000,22000000,20,646,9500000,7900000,13500000,5500000,Approved,42700000,High Middle Class,Gold,Fair,Long Term
1827,1,Graduate,No,1100000,3600000,20,495,1600000,1100000,3100000,500000,Rejected,7400000,Low Class,Bronze,Very Poor,Long Term
1828,3,Not Graduate,Yes,7200000,21600000,2,626,10600000,1600000,26900000,3700000,Approved,50000000,High Middle Class,Gold,Fair,Short Term
1829,1,Not Graduate,Yes,3000000,6000000,16,518,3800000,1700000,11600000,3900000,Rejected,24000000,Low Middle Class,Silver,Poor,Long Term
1830,5,Graduate,No,2700000,7600000,8,746,900000,2200000,7200000,3400000,Approved,16400000,Low Middle Class,Silver,Good,Long Term
1831,0,Not Graduate,No,5000000,16300000,12,737,2600000,3400000,11800000,4400000,Approved,27200000,Low Middle Class,Gold,Good,Long Term
1832,0,Not Graduate,No,8400000,22300000,14,371,8300000,3700000,22300000,9100000,Rejected,51800000,High Middle Class,Gold,Very Poor,Long Term
1833,1,Graduate,No,7700000,27300000,8,509,10100000,2200000,20200000,10800000,Rejected,51000000,High Middle Class,Platinum,Poor,Long Term
1834,1,Graduate,No,4700000,14000000,2,411,4600000,5100000,10600000,3700000,Rejected,28700000,Low Middle Class,Silver,Very Poor,Short Term
1835,2,Not Graduate,No,4300000,11800000,20,701,11600000,4600000,14200000,3300000,Approved,38000000,High Middle Class,Silver,Good,Long Term
1836,5,Not Graduate,No,2500000,8800000,10,769,3700000,1600000,8200000,2700000,Approved,18700000,Low Middle Class,Silver,Good,Long Term
1837,5,Not Graduate,Yes,4400000,12500000,6,740,8200000,2300000,9900000,5400000,Approved,30200000,Low Middle Class,Silver,Good,Intermedate Term
1838,5,Not Graduate,No,5700000,11600000,4,892,10200000,6100000,19800000,7400000,Approved,49200000,High Middle Class,Silver,Excellent,Intermedate Term
1839,2,Not Graduate,No,5300000,13100000,14,417,4900000,6200000,18200000,6800000,Rejected,41400000,High Middle Class,Silver,Very Poor,Long Term
1840,5,Graduate,No,4600000,14400000,6,785,6500000,6300000,14700000,6200000,Approved,38300000,High Middle Class,Silver,Excellent,Intermedate Term
1841,3,Not Graduate,No,400000,1100000,16,504,200000,400000,800000,400000,Rejected,2200000,Low Class,Bronze,Poor,Long Term
1842,0,Not Graduate,No,2100000,5900000,14,402,4400000,0,4800000,1000000,Rejected,12300000,Low Middle Class,Silver,Very Poor,Long Term
1843,2,Graduate,Yes,1200000,3500000,16,540,3100000,1800000,3500000,800000,Rejected,10400000,Low Class,Bronze,Poor,Long Term
1844,2,Graduate,Yes,8000000,28400000,10,607,11400000,3800000,29000000,11600000,Approved,63800000,High Class,Platinum,Fair,Long Term
1845,1,Graduate,Yes,5000000,19400000,10,410,11600000,6200000,11700000,4500000,Rejected,39000000,High Middle Class,Gold,Very Poor,Long Term
1846,0,Not Graduate,No,8500000,17200000,12,624,6500000,8400000,18600000,5100000,Approved,47100000,High Middle Class,Gold,Fair,Long Term
1847,4,Graduate,No,4600000,16600000,16,805,4800000,8000000,11500000,2800000,Approved,31700000,Low Middle Class,Gold,Excellent,Long Term
1848,2,Graduate,No,4600000,16100000,18,709,7100000,9000000,13800000,5400000,Approved,39900000,High Middle Class,Gold,Good,Long Term
1849,2,Not Graduate,Yes,8500000,30900000,14,511,23300000,4400000,21900000,5500000,Rejected,63600000,High Class,Platinum,Poor,Long Term
1850,1,Graduate,Yes,7800000,25100000,18,766,6900000,7200000,16600000,10200000,Approved,48700000,High Middle Class,Platinum,Good,Long Term
1851,3,Not Graduate,Yes,1400000,3800000,16,451,3100000,1300000,4300000,1300000,Rejected,11400000,Low Class,Bronze,Very Poor,Long Term
1852,1,Not Graduate,Yes,3700000,10200000,4,447,300000,2000000,14500000,3200000,Rejected,23700000,Low Middle Class,Silver,Very Poor,Intermedate Term
1853,3,Not Graduate,Yes,1000000,2500000,18,763,400000,1100000,2100000,1400000,Approved,6000000,Low Class,Bronze,Good,Long Term
1854,5,Not Graduate,No,900000,3100000,20,834,1000000,900000,2100000,1300000,Approved,6200000,Low Class,Bronze,Excellent,Long Term
1855,2,Graduate,No,5600000,19500000,8,429,6100000,2200000,21100000,7200000,Rejected,42200000,High Middle Class,Gold,Very Poor,Long Term
1856,4,Not Graduate,No,3200000,10600000,16,693,7800000,4900000,10400000,1800000,Approved,28100000,Low Middle Class,Silver,Good,Long Term
1857,1,Graduate,No,2900000,11100000,20,478,4200000,2900000,8500000,3000000,Rejected,21500000,Low Middle Class,Silver,Very Poor,Long Term
1858,2,Graduate,Yes,300000,800000,10,752,600000,300000,1000000,400000,Approved,2600000,Low Class,Bronze,Good,Long Term
1859,0,Graduate,Yes,2400000,5900000,14,319,2000000,4200000,9500000,3300000,Rejected,21400000,Low Middle Class,Silver,Very Poor,Long Term
1860,3,Graduate,No,5000000,17600000,8,303,6300000,9600000,12800000,6900000,Rejected,40600000,High Middle Class,Gold,Very Poor,Long Term
1861,3,Not Graduate,Yes,5000000,16700000,20,420,1100000,5000000,18700000,6900000,Rejected,36700000,Low Middle Class,Gold,Very Poor,Long Term
1862,2,Not Graduate,Yes,200000,600000,8,552,400000,200000,700000,200000,Approved,1700000,Low Class,Bronze,Poor,Long Term
1863,3,Not Graduate,Yes,6000000,16000000,12,606,2600000,11600000,19300000,7800000,Approved,47300000,High Middle Class,Gold,Fair,Long Term
1864,2,Not Graduate,No,5600000,13700000,2,558,7500000,9300000,12100000,6700000,Approved,41200000,High Middle Class,Silver,Poor,Short Term
1865,1,Not Graduate,No,4500000,12400000,6,504,12000000,3200000,13100000,2200000,Rejected,35000000,Low Middle Class,Silver,Poor,Intermedate Term
1866,5,Not Graduate,Yes,200000,300000,8,412,-100000,100000,500000,100000,Rejected,800000,Low Class,Bronze,Very Poor,Long Term
1867,4,Not Graduate,Yes,6200000,18300000,4,900,16900000,3400000,15300000,6400000,Approved,48200000,High Middle Class,Gold,Excellent,Intermedate Term
1868,4,Not Graduate,Yes,9800000,23800000,8,634,12800000,9300000,37600000,6100000,Approved,75600000,High Class,Platinum,Fair,Long Term
1869,5,Graduate,Yes,3900000,9000000,8,340,4900000,6800000,9000000,5200000,Rejected,29800000,Low Middle Class,Silver,Very Poor,Long Term
1870,3,Not Graduate,Yes,8300000,20900000,4,615,4400000,200000,19000000,9600000,Approved,41500000,High Middle Class,Gold,Fair,Intermedate Term
1871,2,Graduate,Yes,4900000,12200000,18,353,7000000,200000,14400000,3600000,Rejected,30100000,Low Middle Class,Silver,Very Poor,Long Term
1872,4,Graduate,Yes,6900000,16300000,8,606,5800000,900000,23700000,3600000,Approved,40900000,High Middle Class,Gold,Fair,Long Term
1873,2,Not Graduate,No,4500000,14500000,18,498,7900000,200000,13500000,4800000,Rejected,30900000,Low Middle Class,Silver,Very Poor,Long Term
1874,4,Not Graduate,No,7500000,21900000,2,585,6800000,12200000,27500000,8100000,Approved,62100000,High Class,Gold,Poor,Short Term
1875,1,Not Graduate,Yes,2300000,6400000,8,578,3600000,1800000,7000000,3000000,Approved,17700000,Low Middle Class,Silver,Poor,Long Term
1876,1,Graduate,No,7400000,15500000,2,693,3000000,12800000,21800000,9300000,Approved,54300000,High Middle Class,Gold,Good,Short Term
1877,4,Graduate,No,4800000,14300000,6,795,5900000,0,11100000,2600000,Approved,24400000,Low Middle Class,Silver,Excellent,Intermedate Term
1878,1,Graduate,No,2600000,9900000,6,594,2900000,4300000,6700000,2500000,Approved,19000000,Low Middle Class,Silver,Poor,Intermedate Term
1879,3,Not Graduate,Yes,2700000,10600000,8,840,500000,3000000,9000000,1900000,Approved,17100000,Low Middle Class,Silver,Excellent,Long Term
1880,3,Not Graduate,No,3700000,10900000,16,301,7800000,2300000,9600000,3400000,Rejected,26800000,Low Middle Class,Silver,Very Poor,Long Term
1881,4,Graduate,Yes,2600000,9400000,18,481,2700000,4400000,8600000,2400000,Rejected,20700000,Low Middle Class,Silver,Very Poor,Long Term
1882,5,Not Graduate,Yes,8800000,23100000,16,531,20800000,2600000,22100000,8000000,Rejected,62300000,High Class,Gold,Poor,Long Term
1883,2,Not Graduate,No,7500000,15400000,8,332,8300000,3100000,23700000,5400000,Rejected,48000000,High Middle Class,Gold,Very Poor,Long Term
1884,0,Graduate,No,4700000,18500000,4,516,1000000,8400000,10400000,6100000,Approved,30600000,Low Middle Class,Gold,Poor,Intermedate Term
1885,2,Not Graduate,No,7100000,26600000,6,727,16500000,9800000,21100000,7900000,Approved,62400000,High Class,Platinum,Good,Intermedate Term
1886,3,Not Graduate,Yes,5500000,19300000,10,344,14400000,1300000,12400000,6600000,Rejected,40200000,High Middle Class,Gold,Very Poor,Long Term
1887,2,Graduate,No,9500000,31500000,12,650,17600000,16600000,22200000,11400000,Approved,77300000,High Class,Platinum,Fair,Long Term
1888,3,Graduate,Yes,4200000,15400000,8,362,9900000,5300000,15500000,5600000,Rejected,40500000,High Middle Class,Gold,Very Poor,Long Term
1889,5,Graduate,Yes,6900000,18600000,18,307,3500000,4800000,25300000,4200000,Rejected,44700000,High Middle Class,Gold,Very Poor,Long Term
1890,5,Graduate,No,9900000,24600000,2,530,24200000,12800000,20400000,13000000,Rejected,80300000,High Class,Platinum,Poor,Short Term
1891,5,Graduate,No,6700000,17700000,6,482,3200000,10400000,18500000,5700000,Rejected,44500000,High Middle Class,Gold,Very Poor,Intermedate Term
1892,0,Not Graduate,Yes,9300000,22200000,14,701,600000,10100000,35900000,5700000,Approved,61600000,High Class,Gold,Good,Long Term
1893,2,Graduate,No,5600000,17200000,16,586,13700000,2100000,14300000,4300000,Approved,40000000,High Middle Class,Gold,Poor,Long Term
1894,0,Graduate,Yes,8100000,17600000,16,384,15200000,13300000,31700000,10200000,Rejected,78500000,High Class,Gold,Very Poor,Long Term
1895,4,Not Graduate,No,6000000,18000000,18,882,6700000,2500000,12200000,7500000,Approved,34900000,Low Middle Class,Gold,Excellent,Long Term
1896,5,Not Graduate,Yes,4200000,11200000,2,758,5300000,6500000,9600000,3800000,Approved,29400000,Low Middle Class,Silver,Good,Short Term
1897,5,Graduate,No,1600000,4000000,18,529,300000,1200000,5300000,2000000,Rejected,10400000,Low Class,Bronze,Poor,Long Term
1898,3,Graduate,Yes,800000,1500000,2,589,1500000,1100000,1800000,400000,Approved,5600000,Low Class,Bronze,Poor,Short Term
1899,1,Graduate,No,500000,1300000,6,670,1000000,500000,1400000,700000,Approved,4100000,Low Class,Bronze,Good,Intermedate Term
1900,5,Not Graduate,Yes,4300000,14100000,12,532,12600000,5700000,12000000,4600000,Rejected,39200000,High Middle Class,Silver,Poor,Long Term
1901,0,Not Graduate,No,4000000,12500000,18,868,11000000,800000,14400000,2300000,Approved,32500000,Low Middle Class,Silver,Excellent,Long Term
1902,2,Not Graduate,No,2900000,7300000,2,776,8300000,3000000,8500000,3400000,Approved,26100000,Low Middle Class,Silver,Good,Short Term
1903,5,Graduate,Yes,2300000,9100000,16,644,4000000,2600000,6600000,3100000,Approved,18600000,Low Middle Class,Silver,Fair,Long Term
1904,0,Graduate,Yes,1800000,6000000,12,658,2900000,2300000,4500000,2400000,Approved,13900000,Low Middle Class,Silver,Fair,Long Term
1905,1,Graduate,Yes,8700000,33900000,10,766,16300000,700000,19500000,9000000,Approved,54200000,High Middle Class,Platinum,Good,Long Term
1906,3,Not Graduate,No,7800000,21100000,12,717,1200000,10700000,19900000,6200000,Approved,45800000,High Middle Class,Gold,Good,Long Term
1907,2,Graduate,No,3200000,6300000,10,339,300000,4900000,7300000,2700000,Rejected,18400000,Low Middle Class,Silver,Very Poor,Long Term
1908,0,Not Graduate,No,1600000,4500000,18,463,100000,2000000,4100000,1800000,Rejected,9600000,Low Class,Bronze,Very Poor,Long Term
1909,4,Not Graduate,No,2400000,7300000,4,540,2500000,300000,7800000,2200000,Approved,15200000,Low Middle Class,Silver,Poor,Intermedate Term
1910,1,Graduate,No,1800000,5900000,16,804,800000,2500000,5000000,1000000,Approved,11100000,Low Class,Silver,Excellent,Long Term
1911,1,Graduate,No,7500000,16000000,10,541,16300000,4500000,22400000,5100000,Rejected,55800000,High Middle Class,Gold,Poor,Long Term
1912,4,Not Graduate,Yes,6700000,18400000,10,371,1900000,1400000,15700000,4400000,Rejected,30100000,Low Middle Class,Gold,Very Poor,Long Term
1913,5,Graduate,No,5800000,13700000,6,369,10500000,2700000,12100000,3000000,Rejected,34100000,Low Middle Class,Silver,Very Poor,Intermedate Term
1914,0,Not Graduate,No,500000,1800000,2,651,700000,0,1700000,200000,Approved,3100000,Low Class,Bronze,Fair,Short Term
1915,0,Graduate,Yes,9400000,30700000,10,477,17400000,900000,27500000,6200000,Rejected,61400000,High Class,Platinum,Very Poor,Long Term
1916,4,Not Graduate,No,1600000,6200000,18,554,3200000,800000,5500000,1100000,Approved,12200000,Low Middle Class,Silver,Poor,Long Term
1917,0,Graduate,Yes,9300000,25000000,14,362,14900000,16100000,32300000,11000000,Rejected,83600000,High Class,Platinum,Very Poor,Long Term
1918,5,Graduate,No,3700000,14000000,2,469,3800000,600000,8000000,2800000,Approved,18900000,Low Middle Class,Silver,Very Poor,Short Term
1919,3,Not Graduate,No,900000,1900000,12,547,2400000,400000,3000000,400000,Rejected,7100000,Low Class,Bronze,Poor,Long Term
1920,4,Not Graduate,No,500000,1300000,6,809,200000,300000,900000,500000,Approved,2400000,Low Class,Bronze,Excellent,Intermedate Term
1921,1,Graduate,Yes,7800000,16200000,2,335,4900000,7900000,28700000,6400000,Rejected,55700000,High Middle Class,Gold,Very Poor,Short Term
1922,5,Not Graduate,Yes,5300000,13700000,18,708,7600000,900000,19200000,5900000,Approved,38900000,High Middle Class,Silver,Good,Long Term
1923,0,Graduate,No,300000,700000,16,779,200000,0,1000000,400000,Approved,1900000,Low Class,Bronze,Good,Long Term
1924,0,Graduate,Yes,5000000,19900000,6,748,8300000,8500000,11300000,3000000,Approved,36100000,Low Middle Class,Gold,Good,Intermedate Term
1925,0,Graduate,No,7900000,28600000,18,541,400000,3900000,22300000,6700000,Rejected,41200000,High Middle Class,Platinum,Poor,Long Term
1926,4,Graduate,No,5300000,15800000,2,527,3800000,5200000,19700000,3900000,Rejected,37900000,High Middle Class,Gold,Poor,Short Term
1927,0,Not Graduate,Yes,5500000,15300000,4,859,4600000,9500000,21400000,2900000,Approved,43900000,High Middle Class,Gold,Excellent,Intermedate Term
1928,0,Graduate,No,1500000,5600000,18,604,2000000,2400000,4400000,1800000,Approved,12100000,Low Middle Class,Silver,Fair,Long Term
1929,5,Graduate,No,6600000,20100000,18,348,6900000,2500000,22500000,7200000,Rejected,45700000,High Middle Class,Gold,Very Poor,Long Term
1930,4,Graduate,Yes,6200000,16200000,20,734,8800000,4000000,14600000,4400000,Approved,38000000,High Middle Class,Gold,Good,Long Term
1931,3,Graduate,No,6300000,17000000,16,388,11700000,2100000,16100000,3200000,Rejected,39400000,High Middle Class,Gold,Very Poor,Long Term
1932,0,Graduate,Yes,3800000,8100000,20,831,6500000,1700000,7700000,2000000,Approved,21700000,Low Middle Class,Silver,Excellent,Long Term
1933,5,Not Graduate,No,500000,1500000,6,433,-100000,700000,1900000,700000,Rejected,3700000,Low Class,Bronze,Very Poor,Intermedate Term
1934,2,Graduate,Yes,5000000,15900000,16,699,8800000,5900000,18100000,7200000,Approved,45000000,High Middle Class,Gold,Good,Long Term
1935,0,Not Graduate,No,4500000,17100000,8,303,7400000,8200000,17400000,4200000,Rejected,41700000,High Middle Class,Gold,Very Poor,Long Term
1936,4,Not Graduate,No,1000000,3800000,2,611,1700000,1800000,2500000,600000,Approved,7600000,Low Class,Bronze,Fair,Short Term
1937,2,Graduate,No,1700000,3700000,20,558,4100000,1400000,5000000,2500000,Approved,14700000,Low Middle Class,Bronze,Poor,Long Term
1938,4,Graduate,Yes,1200000,4800000,2,752,2800000,900000,3000000,600000,Approved,8500000,Low Class,Bronze,Good,Short Term
1939,5,Not Graduate,Yes,8500000,25800000,14,786,13900000,11000000,32400000,11300000,Approved,77100000,High Class,Platinum,Excellent,Long Term
1940,0,Graduate,No,8600000,29000000,18,481,21200000,2600000,27700000,5400000,Rejected,65500000,High Class,Platinum,Very Poor,Long Term
1941,2,Graduate,No,400000,1300000,16,507,200000,200000,1500000,300000,Rejected,2600000,Low Class,Bronze,Poor,Long Term
1942,4,Graduate,No,8700000,19800000,14,715,13500000,13400000,32000000,8500000,Approved,76100000,High Class,Gold,Good,Long Term
1943,0,Not Graduate,No,1800000,5700000,20,392,3800000,2400000,3500000,1400000,Rejected,12900000,Low Middle Class,Silver,Very Poor,Long Term
1944,0,Graduate,Yes,4700000,17700000,16,887,1300000,4900000,13200000,6700000,Approved,30800000,Low Middle Class,Gold,Excellent,Long Term
1945,0,Not Graduate,No,7300000,21600000,2,479,17900000,12300000,15900000,7500000,Rejected,60900000,High Class,Gold,Very Poor,Short Term
1946,2,Graduate,No,8400000,32100000,20,328,16300000,4600000,19500000,8000000,Rejected,56800000,High Middle Class,Platinum,Very Poor,Long Term
1947,2,Graduate,Yes,4800000,12900000,8,740,9300000,900000,11000000,3700000,Approved,29700000,Low Middle Class,Silver,Good,Long Term
1948,2,Graduate,No,9200000,34200000,2,456,12200000,11300000,25800000,5700000,Approved,64200000,High Class,Platinum,Very Poor,Short Term
1949,1,Not Graduate,No,6200000,21100000,10,467,15600000,10500000,23500000,5300000,Rejected,61100000,High Class,Gold,Very Poor,Long Term
1950,0,Graduate,Yes,200000,700000,10,587,-100000,100000,500000,100000,Rejected,800000,Low Class,Bronze,Poor,Long Term
1951,0,Not Graduate,Yes,2500000,6700000,16,569,4500000,3400000,6200000,1300000,Approved,17900000,Low Middle Class,Silver,Poor,Long Term
1952,3,Not Graduate,Yes,8000000,24400000,14,399,19100000,5400000,20600000,11600000,Rejected,64700000,High Class,Platinum,Very Poor,Long Term
1953,1,Not Graduate,No,4600000,15200000,4,593,13800000,3800000,11700000,3900000,Approved,37800000,High Middle Class,Gold,Poor,Intermedate Term
1954,3,Not Graduate,Yes,4900000,12700000,8,409,2000000,2500000,19300000,4700000,Rejected,33400000,Low Middle Class,Silver,Very Poor,Long Term
1955,4,Not Graduate,No,9500000,21300000,18,353,22900000,2300000,21400000,11100000,Rejected,67200000,High Class,Gold,Very Poor,Long Term
1956,5,Graduate,Yes,4500000,11600000,20,306,4800000,1900000,11900000,5700000,Rejected,28800000,Low Middle Class,Silver,Very Poor,Long Term
1957,2,Graduate,Yes,5900000,14200000,12,499,9200000,11600000,20200000,4400000,Rejected,51300000,High Middle Class,Silver,Very Poor,Long Term
1958,4,Graduate,No,4200000,14600000,6,324,6300000,5900000,11700000,3000000,Rejected,31100000,Low Middle Class,Gold,Very Poor,Intermedate Term
1959,2,Not Graduate,Yes,3300000,11300000,6,647,5100000,6000000,12800000,4400000,Approved,31600000,Low Middle Class,Silver,Fair,Intermedate Term
1960,2,Graduate,Yes,4900000,12600000,2,767,1100000,7400000,13000000,3800000,Approved,30200000,Low Middle Class,Silver,Good,Short Term
1961,4,Not Graduate,No,5300000,10700000,12,821,15400000,10200000,17600000,2600000,Approved,51100000,High Middle Class,Silver,Excellent,Long Term
1962,4,Not Graduate,No,7200000,17700000,6,338,9900000,9300000,27800000,7200000,Rejected,61400000,High Class,Gold,Very Poor,Intermedate Term
1963,0,Graduate,No,8400000,24300000,4,785,11900000,10100000,26600000,8500000,Approved,65500000,High Class,Platinum,Excellent,Intermedate Term
1964,3,Graduate,No,3800000,11800000,4,694,0,500000,8300000,5100000,Approved,17700000,Low Middle Class,Silver,Good,Intermedate Term
1965,0,Not Graduate,No,9900000,22300000,20,613,28400000,8900000,23600000,4900000,Approved,75700000,High Class,Gold,Fair,Long Term
1966,4,Graduate,Yes,2900000,8300000,10,318,8700000,4100000,10900000,2100000,Rejected,28700000,Low Middle Class,Silver,Very Poor,Long Term
1967,3,Not Graduate,Yes,6000000,18700000,18,783,2800000,8500000,20300000,8800000,Approved,46400000,High Middle Class,Gold,Excellent,Long Term
1968,2,Not Graduate,No,1700000,5300000,20,761,2500000,500000,3700000,1200000,Approved,9600000,Low Class,Silver,Good,Long Term
1969,4,Graduate,Yes,5300000,12000000,10,329,15300000,9300000,17300000,6100000,Rejected,53300000,High Middle Class,Silver,Very Poor,Long Term
1970,5,Not Graduate,Yes,7500000,15000000,14,661,12100000,5800000,29900000,4400000,Approved,59700000,High Class,Gold,Good,Long Term
1971,4,Not Graduate,No,400000,900000,18,339,700000,200000,800000,200000,Rejected,2300000,Low Class,Bronze,Very Poor,Long Term
1972,1,Graduate,Yes,8300000,17700000,10,673,23700000,5300000,28700000,4200000,Approved,70200000,High Class,Gold,Good,Long Term
1973,3,Graduate,No,4500000,16900000,18,748,8500000,7200000,15100000,6600000,Approved,41900000,High Middle Class,Gold,Good,Long Term
1974,3,Graduate,No,4600000,10000000,4,702,6800000,1500000,16100000,4500000,Approved,33500000,Low Middle Class,Silver,Good,Intermedate Term
1975,4,Not Graduate,No,4700000,10300000,12,710,7500000,7700000,16900000,6600000,Approved,43400000,High Middle Class,Silver,Good,Long Term
1976,0,Graduate,Yes,900000,3500000,6,331,2400000,1400000,3500000,1100000,Rejected,9300000,Low Class,Bronze,Very Poor,Intermedate Term
1977,1,Not Graduate,No,2400000,7600000,12,372,5700000,4400000,6600000,1400000,Rejected,20500000,Low Middle Class,Silver,Very Poor,Long Term
1978,0,Not Graduate,Yes,3900000,9600000,10,783,9900000,2100000,10900000,3900000,Approved,30700000,Low Middle Class,Silver,Excellent,Long Term
1979,0,Graduate,No,8300000,31400000,18,558,13300000,2900000,25900000,6300000,Approved,56700000,High Middle Class,Platinum,Poor,Long Term
1980,4,Graduate,Yes,4700000,13000000,6,552,5600000,8300000,11900000,2400000,Approved,32900000,Low Middle Class,Silver,Poor,Intermedate Term
1981,4,Not Graduate,No,3900000,10600000,20,544,4100000,3100000,10900000,4900000,Rejected,26900000,Low Middle Class,Silver,Poor,Long Term
1982,2,Not Graduate,No,400000,1000000,6,425,800000,300000,800000,200000,Rejected,2500000,Low Class,Bronze,Very Poor,Intermedate Term
1983,2,Not Graduate,Yes,1700000,5100000,18,321,2000000,2800000,5100000,1500000,Rejected,13100000,Low Middle Class,Silver,Very Poor,Long Term
